PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;SAVUSHKIN PRODUCT;LASKOVOE LETO;GROUP;0.1200/KG;2%;2;LASKOVOE LETO 2% F 120G H ABRICOS;FLAVOURED;FRUITS/BERRIES;APRICOT / ABRIKOS;78,2607;299,580496;3,827981;73,085583;86,723358;66,7557
MAT APR'19;SAVUSHKIN PRODUCT;LASKOVOE LETO;GROUP;0.1200/KG;2%;2;LASKOVOE LETO 2% F 120G H CHERNIKA;FLAVOURED;FRUITS/BERRIES;BILBERRY;77,5592;283,122974;3,650411;57,09555;80,295292;85,0613
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;2,90%;3;ACTIVIA 2.9% F BIO 150G H KLUBNIKA;FLAVOURED;FRUITS/BERRIES;STRAWBERRY;76,8588;428,796214;5,579013;24,145175;35,607067;96,3074
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;CUP;0.3500/KG;2%;2;OPTIMAL S BIFIDOB.2% 350G SF;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;76,384;269,3041447;3,525662;26,749375;55,345133;165,4061
MAT APR'19;SAVUSHKIN PRODUCT;SUPERKID;GROUP;0.1200/KG;2%;2;SUPERKID 2% F 120G H YABLOKO-CHERNIKA;FLAVOURED;FRUITS/BERRIES;APPLE & BILBERRY;76,1195;352,735674;4,633973;59,671075;83,53925;79,1734
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1100/KG;5%;5;NEZHNY SLIVOCHNY 5% 110G H SOK PERSIKA;FLAVOURED;JUICE;PEACH;75,8597;305,575217;4,028163;37,17795;67,254017;123,5275
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;8%;8;FRUTTIS SUP.EXTRA 8% F 115G H MIX ANANAS;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;74,4998;396,6555461;5,32425;35,458375;67,235408;125,982
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.1000/KG;1,20%;2;NEZHNY 1.2% 100G H SOK MALINY&ZEMLYANIKI;FLAVOURED;JUICE;RASPBERRY & WILD STRAWBERRY;72,7472;282,6951044;3,885993;51,702042;77,00615;83,6261
MAT APR'19;SAVUSHKIN PRODUCT;LASKOVOE LETO;GROUP;0.1200/KG;2%;2;LASKOVOE LETO 2% F 120G H KLUBNIKA;FLAVOURED;FRUITS/BERRIES;STRAWBERRY;70,2873;269,597527;3,835651;64,3368;83,43445;67,9813
MAT APR'19;DANONE GROUP;RASTISHKA;STAND-UP-BAG;0.0700/KG;2,60%;3;RASTISHKA 2.6% F 70G SUB KLUBNIKA;FLAVOURED;FRUITS/BERRIES;STRAWBERRY;69,9845;1040,668695;14,869988;81,77605;95,226125;53,3256
