Год_месяц;Клиент;Подкатегория;СЕГМЕНТ;Формат ТТ;Способ обработки;Наименование Товара в Сети;Производитель;Бренд;Тип упаковки;Масса;Наполнитель;Сквозное Имя;Продажи в кг;Продажи в руб;Offtake в кг
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;-;-;ВИОЛА Сыр плавленый с молочным шоколадом33%180г д/п(Валио):7;ВАЛИО ООО;VIOLA;ПАСТООБРАЗНЫЙ;0.18;молочный шоколад;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,18 кг 33% ПАСТООБРАЗНЫЙ молочный шоколад;27.18;13385.295;1.235454545
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ВИОЛА Сыр плавленый с молочным шоколадом33%180г д/п(Валио):7;ВАЛИО ООО;VIOLA;ПАСТООБРАЗНЫЙ;0.18;молочный шоколад;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,18 кг 33% ПАСТООБРАЗНЫЙ молочный шоколад;1803.42;883547.401;4.184269142
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ВИОЛА Сыр плавленый с молочным шоколадом33%180г д/п(Валио):7;ВАЛИО ООО;VIOLA;ПАСТООБРАЗНЫЙ;0.18;молочный шоколад;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,18 кг 33% ПАСТООБРАЗНЫЙ молочный шоколад;16691.94;8218578.654;1.26138744
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ВИОЛА Сыр плавленый сливочный 50% 200г пл/ван(Валио):18;ВАЛИО ООО;VIOLA;СТАКАН;0.2;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,2 кг 50% СТАКАН сливочный;1682;1173666.087;21.025
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ВИОЛА Сыр плавленый сливочный 50% 200г пл/ван(Валио):18;ВАЛИО ООО;VIOLA;СТАКАН;0.2;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,2 кг 50% СТАКАН сливочный;21697.8;14659222.22;8.147878333
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;-;-;ВИОЛА Сыр плавленый сливочный 50% 200г пл/ван(Валио):9;ВАЛИО ООО;VIOLA;СТАКАН;0.2;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,2 кг 50% СТАКАН сливочный;129.2;93025.185;2.118032787
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ВИОЛА Сыр плавленый сливочный 50% 200г пл/ван(Валио):9;ВАЛИО ООО;VIOLA;СТАКАН;0.2;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,2 кг 50% СТАКАН сливочный;1714.8;1078592.247;14.53220339
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ВИОЛА Сыр плавленый сливочный 50% 200г пл/ван(Валио):9;ВАЛИО ООО;VIOLA;СТАКАН;0.2;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,2 кг 50% СТАКАН сливочный;22251;15367487.93;6.897396156
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;-;-;ВИОЛА Сыр плавленый сливочный 50% 400г пл/ван(Валио):12;ВАЛИО ООО;VIOLA;СТАКАН;0.4;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,4 кг 50% СТАКАН сливочный;1958.4;886485.677;5.952583587
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ВИОЛА Сыр плавленый сливочный 50% 400г пл/ван(Валио):12;ВАЛИО ООО;VIOLA;СТАКАН;0.4;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,4 кг 50% СТАКАН сливочный;70099.6;31999135.02;129.3350554
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ВИОЛА Сыр плавленый сливочный 50% 400г пл/ван(Валио):12;ВАЛИО ООО;VIOLA;СТАКАН;0.4;сливочный;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ VIOLA 0,4 кг 50% СТАКАН сливочный;436682;198060720.9;28.48731163
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;СЕГМЕНТЫ;-;-;ВИОЛА Сыр плавленый сливочный сегм 45% 130г к/уп(Валио):10;ВАЛИО ООО;VIOLA;СЕГМЕНТЫ;0.13;сливочный;СЫР ПЛАВЛЕНЫЙ СЕГМЕНТЫ VIOLA 0,13 кг 45% СЕГМЕНТЫ сливочный;799.89;407946.99;1.941480583
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;СЕГМЕНТЫ;Гипермаркет;-;ВИОЛА Сыр плавленый сливочный сегм 45% 130г к/уп(Валио):10;ВАЛИО ООО;VIOLA;СЕГМЕНТЫ;0.13;сливочный;СЫР ПЛАВЛЕНЫЙ СЕГМЕНТЫ VIOLA 0,13 кг 45% СЕГМЕНТЫ сливочный;10434.32;4952294.94;19.28709797
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;СЕГМЕНТЫ;Дискаунтер;-;ВИОЛА Сыр плавленый сливочный сегм 45% 130г к/уп(Валио):10;ВАЛИО ООО;VIOLA;СЕГМЕНТЫ;0.13;сливочный;СЫР ПЛАВЛЕНЫЙ СЕГМЕНТЫ VIOLA 0,13 кг 45% СЕГМЕНТЫ сливочный;171292.03;81490592.59;10.96479516
